                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     79,                0.73635,                0.90264,                 1.2535,                0.93144,                0.91903,                0.95659,                0.86313,                0.49691,                0.42169,                  0.898,               0.002278,               0.002278,               0.002278
                     80,                0.72914,                0.88433,                 1.2486,                0.93376,                0.92031,                0.95753,                0.86164,                0.49857,                0.42264,                0.90244,               0.002179,               0.002179,               0.002179
                     81,                0.72702,                0.88448,                 1.2496,                0.93192,                0.92355,                0.95792,                0.86205,                  0.497,                0.42183,                 0.9025,                0.00208,                0.00208,                0.00208
                     82,                0.72088,                0.86902,                 1.2443,                0.93523,                0.92703,                0.95844,                0.86461,                0.49486,                0.42313,                0.89926,               0.001981,               0.001981,               0.001981
                     83,                0.72128,                0.85549,                 1.2395,                0.93293,                0.92279,                0.95758,                0.86342,                0.49577,                0.42056,                0.89997,               0.001882,               0.001882,               0.001882
                     84,                0.71773,                0.85544,                 1.2453,                 0.9404,                0.91625,                 0.9583,                0.86618,                0.49414,                0.41928,                0.89622,               0.001783,               0.001783,               0.001783
                     85,                0.71864,                0.84247,                 1.2439,                0.93126,                 0.9228,                0.95824,                0.86616,                0.49285,                0.42017,                0.89501,               0.001684,               0.001684,               0.001684
                     86,                0.71461,                0.83922,                 1.2395,                0.93055,                0.92352,                0.95636,                0.86437,                0.49354,                0.41737,                0.89527,               0.001585,               0.001585,               0.001585
                     87,                0.71712,                 0.8468,                 1.2392,                0.93263,                0.91813,                 0.9557,                0.86503,                0.49403,                0.41574,                0.89763,               0.001486,               0.001486,               0.001486
                     88,                 0.7039,                0.83457,                 1.2299,                0.93032,                0.91927,                0.95704,                0.86615,                 0.4897,                0.41603,                0.89271,               0.001387,               0.001387,               0.001387
                     89,                0.71047,                0.83282,                 1.2398,                0.92601,                0.92454,                0.95732,                0.86518,                0.49044,                0.41629,                0.89377,               0.001288,               0.001288,               0.001288
